ENSGALT00000103863.1	IGLL1.p1	83.0	88	15	0	10	273	23	110	7.5e-38	153.3
ENSGALT00000092144.1	IGLL1.p1	74.1	27	7	0	16	96	47	73	1.3e-06	48.1
ENSGALT00000097599.1	IGLL1.p1	75.0	32	8	0	1	96	20	51	4.9e-08	52.8
ENSGALT00000096074.1	IGLL1.p1	81.3	91	17	0	1	273	20	110	9.8e-38	152.9
ENSGALT00000093123.1	IGLL1.p1	75.8	95	22	1	1	285	20	113	1.3e-34	142.5
ENSGALT00000095759.1	IGLL1.p1	68.8	96	25	1	1	288	20	110	1.4e-29	125.9
ENSGALT00000098150.1	IGLL1.p1	69.2	65	20	0	4	198	46	110	6.1e-21	96.7
ENSGALT00000088071.2	IGLL1.p1	70.2	57	17	0	1	171	20	76	3.4e-17	84.0
ENSGALT00000034018.5	IGLL1.p1	79.3	92	18	1	1	276	20	110	5.1e-34	140.6
ENSGALT00000098775.1	IGLL1.p1	72.5	91	25	0	1	273	20	110	1.6e-32	135.6
ENSGALT00000105314.1	IGLL1.p1	79.6	93	17	1	1	279	20	110	1.0e-34	142.9
ENSGALT00000103186.1	IGLL1.p1	84.8	66	10	0	7	204	48	113	4.3e-27	117.1
ENSGALT00000095006.1	IGLL1.p1	81.3	91	17	0	1	273	20	110	1.1e-36	149.4
ENSGALT00000093599.1	IGLL1.p1	80.2	96	14	1	1	288	20	110	7.9e-38	153.3
ENSGALT00000106599.1	IGLL1.p1	77.4	93	19	1	1	279	20	110	2.0e-33	138.7
ENSGALT00000106076.1	IGLL1.p1	77.4	93	19	1	1	279	20	110	7.4e-33	136.7
ENSGALT00000092569.1	IGLL1.p1	83.3	66	11	0	10	207	48	113	2.8e-26	114.4
ENSGALT00000097506.1	IGLL1.p1	77.7	94	21	0	1	282	20	113	7.0e-36	146.7
ENSGALT00000102408.1	IGLL1.p1	86.2	58	8	0	1	174	56	113	3.6e-22	100.5
ENSGALT00000085358.2	IGLL1.p1	60.9	92	29	1	1	255	20	111	2.2e-23	105.1
ENSGALT00000090665.1	IGLL1.p1	82.4	68	12	0	4	207	46	113	7.5e-27	116.3
ENSGALT00000104147.1	IGLL1.p1	100.0	91	0	0	1	273	20	110	3.0e-47	184.5
ENSGALT00000009519.6	IGLL1.p1	100.0	104	0	0	1	312	125	228	4.4e-55	210.7
ENSGALT00000107510.1	VH26L5.p2	84.2	101	16	0	1	303	3	103	2.6e-44	174.9
ENSGALT00000102297.1	VH26L5.p2	83.1	89	15	0	31	297	13	101	2.7e-38	154.8
ENSGALT00000106260.1	VH26L5.p2	77.3	88	20	0	31	294	13	100	3.1e-34	141.4
ENSGALT00000091808.1	VH26L5.p2	86.9	99	12	1	1	297	3	100	9.2e-42	166.4
ENSGALT00000107033.1	VH26L5.p2	78.0	100	22	0	1	300	3	102	6.5e-40	160.2
ENSGALT00000093063.1	VH26L10.p1	81.2	101	19	0	1	303	103	203	1.2e-41	166.0
ENSGALT00000093463.1	LOC101750160.p1	83.2	101	17	0	1	303	34	134	1.1e-42	169.5
ENSGALT00000093463.1	LOC101750160.p1	96.3	27	1	0	83	3	200	226	2.7e-09	58.5
ENSGALT00000097156.1	VH26L10.p1	76.5	98	23	0	1	294	103	200	4.0e-37	151.0
ENSGALT00000107238.1	LOC101750160.p1	82.8	99	16	1	1	297	34	131	9.6e-39	156.4
ENSGALT00000107238.1	LOC101750160.p1	44.9	69	34	2	209	3	162	226	1.2e-09	59.7
ENSGALT00000103224.1	VH26L5.p2	85.7	98	14	0	1	294	3	100	2.9e-43	171.4
ENSGALT00000076576.2	VH26L10.p1	81.2	101	18	1	1	300	103	203	3.5e-41	164.5
ENSGALT00000100705.1	VH26L10.p1	86.7	98	13	0	1	294	103	200	2.4e-42	168.3
ENSGALT00000095032.1	VH26L5.p2	80.8	99	18	1	1	294	3	101	1.7e-40	162.2
